399	700
423	845
360	908
509	1044
326	568
372	805
574	987
324	567
451	782
360	1025
231	529
544	958
252	686
310	729
398	990
325	979
280	855
299	753
520	1014
338	766
372	764
308	393
380	863
240	538
504	1021
349	826
401	764
109	1186
219	1156
519	1039
426	744
327	930
431	855
379	830
458	1054
494	1113
465	805
306	454
414	808
383	671
432	1071
532	1046
276	892
259	691
362	709
570	916
417	1040
359	898
460	792
341	812
356	843
421	1095
378	973
422	1066
370	752
357	804
391	841
402	937
569	973
574	915
327	926
570	1065
524	957
261	481
239	527
224	395
523	1107
453	1021
517	921
323	1074
375	1102
412	931
537	1046
289	904
581	956
343	1089
452	844
389	800
193	534
576	1051
383	724
577	1080
85	1190
132	1164
259	1113
246	642
316	821
286	1065
225	573
375	636
296	801
338	922
249	544
419	764
131	491
289	757
326	875
363	999
407	883
450	962
352	676
340	656
477	1079
109	1187
388	751
388	797
475	1045
246	534
381	1048
308	1078
334	874
411	1121
475	1116
305	803
348	1020
476	1116
412	1121
411	1119
477	1115
349	783
477	1116
454	796
478	1115
411	1118
523	1052
410	1118
474	1115
476	1115
523	1053
278	824
477	1114
194	1165
415	1047
584	1055
507	1121
410	1121
411	1120
568	1084
504	1080
526	1111
412	1119
538	1046
307	1047
460	1117
305	1046
509	1047
304	1046
406	1120
303	1049
520	1053
411	1117
519	1051
303	1046
410	1122
521	1054
522	1064
476	1101
421	1050
524	1052
406	1119
505	1121
522	1054
304	1049
390	1109
412	1120
476	1114
478	1116
411	1122
522	1053
395	1125
528	1110
341	998
511	1048
474	1116
417	1048
471	1114
390	980
329	1003
504	1075
560	1062
583	1056
439	1121
303	1047
386	1107
473	1115
475	1115
569	1084
545	1079
391	1106
405	1128
512	1049
307	1046
385	1107
388	1107
195	1165
443	1062
265	1043
525	1109
416	1113
440	1040
499	1046
401	1013
407	1071
416	1047
459	1117
360	1036
478	1114
450	1118
472	1115
547	1059
582	1069
404	997
412	1115
305	1045
390	979
431	1027
520	1054
523	1054
391	1109
414	1109
510	1047
566	1084
512	1048
195	1166
380	1106
444	1069
526	1057
401	1018
455	1050
310	1046
414	1047
471	1086
305	1049
456	1054
505	1079
509	1048
582	1050
404	1118
459	1052
479	1097
527	1055
537	1057
583	1055
392	1109
428	1008
545	1080
432	1070
475	1084
305	1044
380	1011
398	1015
443	1075
385	1106
442	1062
473	1085
522	1057
577	1079
350	1128
386	1106
431	1053
499	1047
518	1052
380	1107
433	1070
515	1062
527	1111
442	1018
523	1058
399	1015
452	1049
467	1115
527	1110
576	1079
382	1073
395	1108
460	1116
463	1116
391	1107
426	1007
508	1120
307	1049
326	1007
399	1017
427	980
441	1038
458	1116
471	1115
478	1064
486	1110
501	1046
234	1160
319	1056
407	1115
469	1115
518	1051
521	1057
522	1056
262	1044
416	1112
461	1117
504	1081
412	1047
431	986
442	1044
562	1053
385	1105
401	1114
470	1085
478	1117
524	1053
535	1056
390	1106
444	1062
239	1127
309	1047
